2026-04-02 23:29:33 | INFO | bot | ⚙️ Запуск глобальной конфигурации параметров (Leverage & Margin)...
2026-04-02 23:29:33 | INFO | bot | 🔄 Загрузка спецификаций Phemex...
2026-04-02 23:29:34 | DEBUG | bot | [BTCUSDT] Успешно: ISOLATED Margin, Lev=21x
2026-04-02 23:29:34 | DEBUG | bot | [ETHUSDT] Успешно: ISOLATED Margin, Lev=21x
2026-04-02 23:29:35 | DEBUG | bot | [XRPUSDT] Успешно: ISOLATED Margin, Lev=21x
2026-04-02 23:29:35 | DEBUG | bot | [ADAUSDT] Успешно: ISOLATED Margin, Lev=21x
2026-04-02 23:29:36 | DEBUG | bot | [SOLUSDT] Успешно: ISOLATED Margin, Lev=21x
2026-04-02 23:29:37 | DEBUG | bot | [UNIUSDT] Успешно: ISOLATED Margin, Lev=21x
2026-04-02 23:29:37 | DEBUG | bot | [DOTUSDT] Успешно: ISOLATED Margin, Lev=21x
2026-04-02 23:29:38 | DEBUG | bot | [LINKUSDT] Успешно: ISOLATED Margin, Lev=21x
2026-04-02 23:29:38 | DEBUG | bot | [ATOMUSDT] Успешно: ISOLATED Margin, Lev=21x
2026-04-02 23:29:39 | ERROR | bot | [LTCUSDT] Ошибка настройки: private api request failed: phemex error [20004]: te_err_inconsistent_pos_mode
2026-04-02 23:29:39 | ERROR | bot | [DOGEUSDT] Ошибка настройки: private api request failed: phemex error [20004]: te_err_inconsistent_pos_mode
2026-04-02 23:29:40 | ERROR | bot | [TWTUSDT] Ошибка настройки: private api request failed: phemex error [20004]: te_err_inconsistent_pos_mode
2026-04-02 23:29:40 | ERROR | bot | [BNBUSDT] Ошибка настройки: private api request failed: phemex error [20004]: te_err_inconsistent_pos_mode
2026-04-02 23:29:41 | ERROR | bot | [MANAUSDT] Ошибка настройки: private api request failed: phemex error [20004]: te_err_inconsistent_pos_mode
2026-04-02 23:29:41 | ERROR | bot | [APEUSDT] Ошибка настройки: private api request failed: phemex error [20004]: te_err_inconsistent_pos_mode
2026-04-02 23:29:42 | ERROR | bot | [LUNCUSDT] Ошибка настройки: private api request failed: phemex error [20004]: te_err_inconsistent_pos_mode
2026-04-02 23:29:42 | ERROR | bot | [FLOWUSDT] Ошибка настройки: private api request failed: phemex error [20004]: te_err_inconsistent_pos_mode
2026-04-02 23:29:43 | ERROR | bot | [NEOUSDT] Ошибка настройки: private api request failed: phemex error [20004]: te_err_inconsistent_pos_mode
2026-04-02 23:29:43 | ERROR | bot | [ACHUSDT] Ошибка настройки: private api request failed: phemex error [20004]: te_err_inconsistent_pos_mode
2026-04-02 23:29:44 | ERROR | bot | [BANDUSDT] Ошибка настройки: private api request failed: phemex error [20004]: te_err_inconsistent_pos_mode
2026-04-02 23:29:44 | ERROR | bot | [VETUSDT] Ошибка настройки: private api request failed: phemex error [20004]: te_err_inconsistent_pos_mode
2026-04-02 23:29:45 | ERROR | bot | [API3USDT] Ошибка настройки: private api request failed: phemex error [20004]: te_err_inconsistent_pos_mode
2026-04-02 23:29:45 | ERROR | bot | [SUSHIUSDT] Ошибка настройки: private api request failed: phemex error [20004]: te_err_inconsistent_pos_mode
2026-04-02 23:29:46 | ERROR | bot | [ENJUSDT] Ошибка настройки: private api request failed: phemex error [20004]: te_err_inconsistent_pos_mode
