2026-04-17 10:52:21 | DEBUG | core | Ошибка фонового обновления цен тикеров: 
2026-04-18 07:53:32 | DEBUG | core | Ошибка фонового обновления цен тикеров: 
2026-04-21 22:10:38 | DEBUG | core | Ошибка фонового обновления цен тикеров: 
2026-04-22 06:35:14 | DEBUG | core | Ошибка фонового обновления цен тикеров: 
2026-04-23 02:57:22 | DEBUG | core | Ошибка фонового обновления цен тикеров: 
2026-04-23 08:29:28 | DEBUG | core | Ошибка фонового обновления цен тикеров: 
2026-04-23 08:29:40 | DEBUG | core | Ошибка фонового обновления цен тикеров: 
2026-04-23 08:29:42 | DEBUG | core | Ошибка фонового обновления цен тикеров: Cannot connect to host fapi.binance.com:443 ssl:default [getaddrinfo failed]
2026-04-23 08:29:44 | DEBUG | core | Ошибка фонового обновления цен тикеров: Cannot connect to host fapi.binance.com:443 ssl:default [getaddrinfo failed]
2026-04-23 08:29:45 | DEBUG | core | Ошибка фонового обновления цен тикеров: Cannot connect to host fapi.binance.com:443 ssl:default [getaddrinfo failed]
2026-04-23 08:29:46 | DEBUG | core | Ошибка фонового обновления цен тикеров: Cannot connect to host fapi.binance.com:443 ssl:default [getaddrinfo failed]
2026-04-23 08:29:47 | DEBUG | core | Ошибка фонового обновления цен тикеров: Cannot connect to host fapi.binance.com:443 ssl:default [getaddrinfo failed]
2026-04-23 08:29:48 | DEBUG | core | Ошибка фонового обновления цен тикеров: Cannot connect to host fapi.binance.com:443 ssl:default [getaddrinfo failed]
2026-04-23 08:29:49 | DEBUG | core | Ошибка фонового обновления цен тикеров: Cannot connect to host fapi.binance.com:443 ssl:default [getaddrinfo failed]
2026-04-23 08:30:01 | DEBUG | core | Ошибка фонового обновления цен тикеров: 
2026-04-23 08:30:13 | DEBUG | core | Ошибка фонового обновления цен тикеров: 
2026-04-23 08:30:25 | DEBUG | core | Ошибка фонового обновления цен тикеров: 
2026-04-23 08:30:37 | DEBUG | core | Ошибка фонового обновления цен тикеров: 
2026-04-23 08:30:49 | DEBUG | core | Ошибка фонового обновления цен тикеров: 
2026-04-23 08:31:01 | DEBUG | core | Ошибка фонового обновления цен тикеров: 
2026-04-23 08:31:13 | DEBUG | core | Ошибка фонового обновления цен тикеров: 
2026-04-23 08:31:25 | DEBUG | core | Ошибка фонового обновления цен тикеров: 
2026-04-23 08:31:37 | DEBUG | core | Ошибка фонового обновления цен тикеров: 
2026-04-23 08:31:39 | DEBUG | core | Ошибка фонового обновления цен тикеров: Cannot connect to host api.phemex.com:443 ssl:default [getaddrinfo failed]
2026-04-23 08:31:41 | DEBUG | core | Ошибка фонового обновления цен тикеров: Cannot connect to host api.phemex.com:443 ssl:default [getaddrinfo failed]
2026-04-23 08:31:42 | DEBUG | core | Ошибка фонового обновления цен тикеров: Cannot connect to host api.phemex.com:443 ssl:default [getaddrinfo failed]
2026-04-23 08:31:43 | DEBUG | core | Ошибка фонового обновления цен тикеров: Cannot connect to host api.phemex.com:443 ssl:default [getaddrinfo failed]
2026-04-23 08:31:44 | DEBUG | core | Ошибка фонового обновления цен тикеров: Cannot connect to host api.phemex.com:443 ssl:default [getaddrinfo failed]
2026-04-23 08:31:56 | DEBUG | core | Ошибка фонового обновления цен тикеров: 
2026-04-23 08:32:08 | DEBUG | core | Ошибка фонового обновления цен тикеров: 
2026-04-23 08:32:20 | DEBUG | core | Ошибка фонового обновления цен тикеров: 
2026-04-23 08:32:32 | DEBUG | core | Ошибка фонового обновления цен тикеров: 
2026-04-23 08:32:44 | DEBUG | core | Ошибка фонового обновления цен тикеров: 
2026-04-23 14:14:52 | DEBUG | core | Ошибка фонового обновления цен тикеров: 
