2026-04-17 01:01:31 | INFO | entry | 🔄 Менеджер Фандингов запущен (Интервал: 60с). Binance API включен: True
2026-04-17 01:01:32 | DEBUG | entry | 🔄 Кэш Фандингов обновлен. Phemex: 537 монет, Binance: 718 монет.
2026-04-17 01:10:47 | INFO | entry | 🔄 Менеджер Фандингов запущен (Интервал: 60с). Binance API включен: True
2026-04-17 01:10:49 | DEBUG | entry | 🔄 Кэш Фандингов обновлен. Phemex: 537 монет, Binance: 718 монет.
2026-04-17 01:11:51 | DEBUG | entry | 🔄 Кэш Фандингов обновлен. Phemex: 537 монет, Binance: 718 монет.
2026-04-17 01:12:52 | DEBUG | entry | 🔄 Кэш Фандингов обновлен. Phemex: 537 монет, Binance: 718 монет.
2026-04-17 01:13:52 | DEBUG | entry | 🔄 Кэш Фандингов обновлен. Phemex: 537 монет, Binance: 718 монет.
2026-04-17 01:14:53 | DEBUG | entry | 🔄 Кэш Фандингов обновлен. Phemex: 537 монет, Binance: 718 монет.
2026-04-17 01:15:56 | DEBUG | entry | 🔄 Кэш Фандингов обновлен. Phemex: 537 монет, Binance: 718 монет.
2026-04-17 01:16:57 | DEBUG | entry | 🔄 Кэш Фандингов обновлен. Phemex: 537 монет, Binance: 718 монет.
2026-04-17 01:17:57 | DEBUG | entry | 🔄 Кэш Фандингов обновлен. Phemex: 537 монет, Binance: 718 монет.
2026-04-17 01:18:58 | DEBUG | entry | 🔄 Кэш Фандингов обновлен. Phemex: 537 монет, Binance: 718 монет.
2026-04-17 01:19:59 | DEBUG | entry | 🔄 Кэш Фандингов обновлен. Phemex: 537 монет, Binance: 718 монет.
2026-04-17 01:21:02 | DEBUG | entry | 🔄 Кэш Фандингов обновлен. Phemex: 537 монет, Binance: 718 монет.
2026-04-17 01:22:02 | DEBUG | entry | 🔄 Кэш Фандингов обновлен. Phemex: 537 монет, Binance: 718 монет.
2026-04-17 01:23:03 | DEBUG | entry | 🔄 Кэш Фандингов обновлен. Phemex: 537 монет, Binance: 718 монет.
2026-04-17 01:24:04 | DEBUG | entry | 🔄 Кэш Фандингов обновлен. Phemex: 537 монет, Binance: 718 монет.
2026-04-17 01:25:04 | DEBUG | entry | 🔄 Кэш Фандингов обновлен. Phemex: 537 монет, Binance: 718 монет.
2026-04-17 01:26:07 | DEBUG | entry | 🔄 Кэш Фандингов обновлен. Phemex: 537 монет, Binance: 718 монет.
2026-04-17 01:27:08 | DEBUG | entry | 🔄 Кэш Фандингов обновлен. Phemex: 537 монет, Binance: 718 монет.
2026-04-17 01:28:09 | DEBUG | entry | 🔄 Кэш Фандингов обновлен. Phemex: 537 монет, Binance: 718 монет.
2026-04-17 01:29:09 | DEBUG | entry | 🔄 Кэш Фандингов обновлен. Phemex: 537 монет, Binance: 718 монет.
2026-04-17 01:30:11 | DEBUG | entry | 🔄 Кэш Фандингов обновлен. Phemex: 537 монет, Binance: 718 монет.
2026-04-17 01:30:11 | DEBUG | entry | [RAVEUSDT] Фандинг 2 (Diff) триггер: diff=0.256151%, min_time_left=1788.6s
2026-04-17 01:30:11 | DEBUG | entry | [SIGNUSDT] Фандинг 2 (Diff) триггер: diff=0.15358%, min_time_left=1788.6s
2026-04-17 01:30:11 | DEBUG | entry | [SIRENUSDT] Фандинг 2 (Diff) триггер: diff=0.084999%, min_time_left=1788.6s
2026-04-17 01:30:11 | INFO | entry | ⚖️ [Фандинг 2] Diff-Блок! Под запретом 3 монет: SIRENUSDT, SIGNUSDT, RAVEUSDT...
2026-04-17 01:31:12 | DEBUG | entry | 🔄 Кэш Фандингов обновлен. Phemex: 537 монет, Binance: 718 монет.
2026-04-17 01:31:12 | DEBUG | entry | [RAVEUSDT] Фандинг 2 (Diff) триггер: diff=0.25761%, min_time_left=1727.5s
