2026-04-10 20:13:09 | DEBUG | negative | +is_negative
2026-04-10 20:13:09 | DEBUG | negative | +is_negative
2026-04-10 20:13:10 | DEBUG | negative | +is_negative
2026-04-10 20:13:10 | DEBUG | negative | +is_negative
2026-04-10 20:13:10 | DEBUG | negative | +is_negative
2026-04-10 20:13:10 | DEBUG | negative | +is_negative
2026-04-10 20:13:10 | DEBUG | negative | +is_negative
2026-04-10 20:13:10 | DEBUG | negative | +is_negative
2026-04-10 20:13:10 | DEBUG | negative | +is_negative
2026-04-10 20:13:10 | DEBUG | negative | +is_negative
2026-04-10 20:13:10 | DEBUG | negative | +is_negative
2026-04-10 20:13:10 | DEBUG | negative | +is_negative
2026-04-10 20:13:10 | DEBUG | negative | +is_negative
2026-04-10 20:13:10 | DEBUG | negative | +is_negative
2026-04-10 20:13:10 | DEBUG | negative | +is_negative
2026-04-10 20:13:10 | DEBUG | negative | +is_negative
2026-04-10 20:13:10 | DEBUG | negative | +is_negative
2026-04-10 20:13:10 | DEBUG | negative | +is_negative
2026-04-10 20:13:10 | DEBUG | negative | +is_negative
2026-04-10 20:13:10 | DEBUG | negative | +is_negative
2026-04-10 20:13:10 | DEBUG | negative | +is_negative
2026-04-10 20:13:10 | DEBUG | negative | +is_negative
2026-04-10 20:13:10 | DEBUG | negative | +is_negative
2026-04-10 20:13:10 | DEBUG | negative | +is_negative
2026-04-10 20:13:10 | DEBUG | negative | +is_negative
2026-04-10 20:13:10 | DEBUG | negative | +is_negative
2026-04-10 20:13:10 | DEBUG | negative | +is_negative
2026-04-10 20:13:10 | DEBUG | negative | +is_negative
2026-04-10 20:13:10 | DEBUG | negative | +is_negative
2026-04-10 20:13:10 | DEBUG | negative | +is_negative
2026-04-10 20:13:10 | DEBUG | negative | +is_negative
2026-04-10 20:13:10 | DEBUG | negative | +is_negative
2026-04-10 20:13:10 | DEBUG | negative | +is_negative
2026-04-10 20:13:10 | DEBUG | negative | +is_negative
2026-04-10 20:13:10 | DEBUG | negative | +is_negative
2026-04-10 20:13:10 | DEBUG | negative | +is_negative
2026-04-10 20:13:10 | DEBUG | negative | +is_negative
2026-04-10 20:13:10 | DEBUG | negative | +is_negative
2026-04-10 20:13:10 | DEBUG | negative | +is_negative
2026-04-10 20:13:10 | DEBUG | negative | +is_negative
2026-04-10 20:13:10 | DEBUG | negative | +is_negative
2026-04-10 20:13:10 | DEBUG | negative | +is_negative
2026-04-10 20:13:10 | DEBUG | negative | +is_negative
2026-04-10 20:13:10 | DEBUG | negative | +is_negative
2026-04-10 20:13:10 | DEBUG | negative | +is_negative
2026-04-10 20:13:10 | DEBUG | negative | +is_negative
2026-04-10 20:13:10 | DEBUG | negative | +is_negative
2026-04-10 20:13:10 | DEBUG | negative | +is_negative
2026-04-10 20:13:10 | DEBUG | negative | +is_negative
2026-04-10 20:13:10 | DEBUG | negative | +is_negative
2026-04-10 20:13:10 | DEBUG | negative | +is_negative
2026-04-10 20:13:10 | DEBUG | negative | +is_negative
2026-04-10 20:13:10 | DEBUG | negative | +is_negative
2026-04-10 20:13:10 | DEBUG | negative | +is_negative
2026-04-10 20:13:10 | DEBUG | negative | +is_negative
2026-04-10 20:13:10 | DEBUG | negative | +is_negative
2026-04-10 20:13:11 | DEBUG | negative | +is_negative
2026-04-10 20:13:11 | DEBUG | negative | +is_negative
2026-04-10 20:13:11 | DEBUG | negative | +is_negative
2026-04-10 20:13:11 | DEBUG | negative | +is_negative
2026-04-10 20:13:11 | DEBUG | negative | +is_negative
2026-04-10 20:13:11 | DEBUG | negative | +is_negative
2026-04-10 20:13:11 | DEBUG | negative | +is_negative
2026-04-10 20:13:11 | DEBUG | negative | +is_negative
2026-04-10 20:13:11 | DEBUG | negative | +is_negative
2026-04-10 20:13:11 | DEBUG | negative | +is_negative
2026-04-10 20:13:11 | DEBUG | negative | +is_negative
2026-04-10 20:13:11 | DEBUG | negative | +is_negative
