2026-05-02 22:59:32 | DEBUG | pattern_math | [NAORISUSDT] [LONG] Skip: Vol 0.2 < 10
2026-05-02 22:59:50 | DEBUG | pattern_math | [BSBUSDT] [LONG] Skip: Vol 5.5 < 10
2026-05-02 22:59:53 | DEBUG | pattern_math | [BSBUSDT] [LONG] Skip: OB Spread 1.17% > 0.75%
2026-05-02 22:59:59 | DEBUG | pattern_math | [BSBUSDT] [LONG] Skip: OB Spread 1.07% > 0.75%
2026-05-02 23:00:02 | DEBUG | pattern_math | [BSBUSDT] [LONG] Skip: OB Spread 1.30% > 0.75%
2026-05-02 23:00:04 | DEBUG | pattern_math | [BSBUSDT] [LONG] Skip: OB Spread 1.26% > 0.75%
2026-05-02 23:00:04 | DEBUG | pattern_math | [BSBUSDT] [LONG] Skip: OB Spread 1.20% > 0.75%
2026-05-02 23:00:05 | DEBUG | pattern_math | [TAUSDT] [LONG] Skip: Imbalance 0.8 < 1.25
2026-05-02 23:00:06 | DEBUG | pattern_math | [BSBUSDT] [LONG] Skip: OB Spread 1.12% > 0.75%
2026-05-02 23:00:06 | DEBUG | pattern_math | [BSBUSDT] [LONG] Skip: OB Spread 1.11% > 0.75%
2026-05-02 23:00:08 | DEBUG | pattern_math | [TAUSDT] [LONG] Skip: Imbalance 1.0 < 1.25
2026-05-02 23:00:08 | DEBUG | pattern_math | [BSBUSDT] [LONG] Skip: OB Spread 1.35% > 0.75%
2026-05-02 23:00:08 | DEBUG | pattern_math | [TAUSDT] [LONG] Skip: Imbalance 0.5 < 1.25
2026-05-02 23:00:08 | DEBUG | pattern_math | [TAUSDT] [LONG] Skip: Imbalance 0.7 < 1.25
2026-05-02 23:00:09 | DEBUG | pattern_math | [TAUSDT] [LONG] Skip: Imbalance 0.6 < 1.25
2026-05-02 23:00:09 | DEBUG | pattern_math | [BSBUSDT] [LONG] Skip: Vol 2.0 < 10
2026-05-02 23:00:12 | DEBUG | pattern_math | [BSBUSDT] [LONG] Skip: OB Spread 0.99% > 0.75%
2026-05-02 23:00:17 | DEBUG | pattern_math | [UBUSDT] [LONG] Skip: Imbalance 0.7 < 1.25
2026-05-02 23:00:17 | DEBUG | pattern_math | [UBUSDT] [LONG] Skip: Imbalance 1.0 < 1.25
2026-05-02 23:00:22 | DEBUG | pattern_math | [UBUSDT] [LONG] Skip: Vol 5.2 < 10
2026-05-02 23:00:25 | DEBUG | pattern_math | [UBUSDT] [LONG] Skip: Imbalance 1.1 < 1.25
2026-05-02 23:00:26 | DEBUG | pattern_math | [UBUSDT] [LONG] Skip: OB Spread 0.92% > 0.75%
2026-05-02 23:00:26 | DEBUG | pattern_math | [UBUSDT] [LONG] Skip: OB Spread 0.91% > 0.75%
2026-05-02 23:00:26 | DEBUG | pattern_math | [UBUSDT] [LONG] Skip: OB Spread 1.10% > 0.75%
2026-05-02 23:00:26 | DEBUG | pattern_math | [UBUSDT] [LONG] Skip: OB Spread 1.09% > 0.75%
2026-05-02 23:00:26 | DEBUG | pattern_math | [UBUSDT] [LONG] Skip: OB Spread 1.08% > 0.75%
2026-05-02 23:00:32 | DEBUG | pattern_math | [UBUSDT] [LONG] Skip: Imbalance 0.1 < 1.25
2026-05-02 23:00:32 | DEBUG | pattern_math | [UBUSDT] [LONG] Skip: Imbalance 0.6 < 1.25
2026-05-02 23:00:32 | DEBUG | pattern_math | [UBUSDT] [LONG] Skip: Imbalance 0.5 < 1.25
2026-05-02 23:00:35 | DEBUG | pattern_math | [UBUSDT] [LONG] Skip: Imbalance 0.4 < 1.25
2026-05-02 23:00:35 | DEBUG | pattern_math | [UBUSDT] [LONG] Skip: Imbalance 0.7 < 1.25
2026-05-02 23:00:36 | DEBUG | pattern_math | [UBUSDT] [LONG] Skip: Imbalance 0.0 < 1.25
2026-05-02 23:00:36 | DEBUG | pattern_math | [UBUSDT] [LONG] Skip: Imbalance 1.0 < 1.25
2026-05-02 23:01:14 | DEBUG | pattern_math | [BIOUSDT] [LONG] Skip: Imbalance 1.0 < 1.25
2026-05-02 23:01:14 | DEBUG | pattern_math | [BIOUSDT] [LONG] Skip: Imbalance 0.9 < 1.25
2026-05-02 23:01:17 | DEBUG | pattern_math | [BIOUSDT] [LONG] Skip: Imbalance 0.6 < 1.25
2026-05-02 23:01:20 | DEBUG | pattern_math | [BSBUSDT] [LONG] Skip: OB Spread 1.09% > 0.75%
2026-05-02 23:01:21 | DEBUG | pattern_math | [BSBUSDT] [LONG] Skip: OB Spread 1.19% > 0.75%
2026-05-02 23:01:24 | DEBUG | pattern_math | [BSBUSDT] [LONG] Skip: OB Spread 0.96% > 0.75%
2026-05-02 23:01:24 | DEBUG | pattern_math | [BSBUSDT] [LONG] Skip: OB Spread 0.95% > 0.75%
2026-05-02 23:01:25 | DEBUG | pattern_math | [BSBUSDT] [LONG] Skip: OB Spread 0.84% > 0.75%
2026-05-02 23:01:26 | DEBUG | pattern_math | [BSBUSDT] [LONG] Skip: OB Spread 1.13% > 0.75%
2026-05-02 23:01:26 | DEBUG | pattern_math | [BSBUSDT] [LONG] Skip: OB Spread 1.11% > 0.75%
2026-05-02 23:01:31 | DEBUG | pattern_math | [BSBUSDT] [LONG] Skip: OB Spread 0.82% > 0.75%
2026-05-02 23:01:31 | DEBUG | pattern_math | [BSBUSDT] [LONG] Skip: OB Spread 0.91% > 0.75%
2026-05-02 23:01:32 | DEBUG | pattern_math | [BSBUSDT] [LONG] Skip: OB Spread 0.92% > 0.75%
2026-05-02 23:01:36 | DEBUG | pattern_math | [BSBUSDT] [LONG] Skip: OB Spread 0.85% > 0.75%
2026-05-02 23:01:36 | DEBUG | pattern_math | [BSBUSDT] [LONG] Skip: OB Spread 0.90% > 0.75%
2026-05-02 23:01:37 | DEBUG | pattern_math | [BSBUSDT] [LONG] Skip: Imbalance 0.2 < 1.25
2026-05-02 23:01:37 | DEBUG | pattern_math | [BSBUSDT] [LONG] Skip: Imbalance 0.1 < 1.25
2026-05-02 23:01:42 | DEBUG | pattern_math | [BSBUSDT] [LONG] Skip: Imbalance 0.4 < 1.25
2026-05-02 23:01:44 | DEBUG | pattern_math | [BSBUSDT] [LONG] Skip: Vol 6.2 < 10
2026-05-02 23:01:46 | DEBUG | pattern_math | [BSBUSDT] [LONG] Skip: OB Spread 0.85% > 0.75%
2026-05-02 23:01:49 | DEBUG | pattern_math | [BSBUSDT] [LONG] Skip: Vol 5.5 < 10
2026-05-02 23:01:55 | DEBUG | pattern_math | [BSBUSDT] [LONG] Skip: Imbalance 0.6 < 1.25
2026-05-02 23:01:58 | DEBUG | pattern_math | [BSBUSDT] [LONG] Skip: Imbalance 0.5 < 1.25
2026-05-02 23:02:00 | DEBUG | pattern_math | [BSBUSDT] [LONG] Skip: OB Spread 0.80% > 0.75%
2026-05-02 23:02:00 | DEBUG | pattern_math | [BSBUSDT] [LONG] Skip: Imbalance 0.4 < 1.25
2026-05-02 23:02:01 | DEBUG | pattern_math | [BSBUSDT] [LONG] Skip: Imbalance 0.3 < 1.25
2026-05-02 23:02:02 | DEBUG | pattern_math | [BSBUSDT] [LONG] Skip: Imbalance 0.2 < 1.25
2026-05-02 23:02:03 | DEBUG | pattern_math | [BSBUSDT] [LONG] Skip: Imbalance 0.7 < 1.25
2026-05-02 23:02:03 | DEBUG | pattern_math | [BSBUSDT] [LONG] Skip: OB Spread 0.78% > 0.75%
2026-05-02 23:02:05 | DEBUG | pattern_math | [BSBUSDT] [LONG] Skip: OB Spread 1.02% > 0.75%
2026-05-02 23:02:12 | DEBUG | pattern_math | [BSBUSDT] [LONG] Skip: Imbalance 1.0 < 1.25
2026-05-02 23:02:13 | DEBUG | pattern_math | [BSBUSDT] [LONG] Skip: Imbalance 0.3 < 1.25
2026-05-02 23:02:14 | DEBUG | pattern_math | [BSBUSDT] [LONG] Skip: Imbalance 0.7 < 1.25
2026-05-02 23:02:15 | DEBUG | pattern_math | [BSBUSDT] [LONG] Skip: Imbalance 0.8 < 1.25
2026-05-02 23:02:15 | DEBUG | pattern_math | [BSBUSDT] [LONG] Skip: Imbalance 0.4 < 1.25
2026-05-02 23:02:15 | DEBUG | pattern_math | [BSBUSDT] [LONG] Skip: Imbalance 0.6 < 1.25
2026-05-02 23:02:15 | DEBUG | pattern_math | [BSBUSDT] [LONG] Skip: Imbalance 0.5 < 1.25
2026-05-02 23:02:21 | DEBUG | pattern_math | [BSBUSDT] [LONG] Skip: Imbalance 1.1 < 1.25
2026-05-02 23:02:21 | DEBUG | pattern_math | [BSBUSDT] [LONG] Skip: Imbalance 1.2 < 1.25
2026-05-02 23:02:22 | DEBUG | pattern_math | [BSBUSDT] [LONG] Skip: OB Spread 0.95% > 0.75%
