timestamp,symbol,side,entry_price,exit_price,qty,entry_usd,exit_usd,net_pnl,is_win,duration
1777041582.8563313,OPGUSDT,LONG,0.2801,0.2813,1533.0,429.39,431.23,1.3232,True,3.5s
1777043669.2892282,OPGUSDT,LONG,0.284,0.2852,1583.0,449.57,451.47,1.359,True,8.8s
1777049753.3339505,OPGUSDT,LONG,0.2818,0.2824,354.0,99.76,99.97,0.0926,True,23.5s
1777073895.322323,APRUSDT,LONG,0.17915,0.17943,2178.64,390.3,390.91,0.1413,True,23.5s
1777073997.774112,STABLEUSDT,LONG,0.03207,0.03216,23653.6,758.57,760.7,1.2173,True,35.5s
1777082929.8544466,BOBUSDT,SHORT,0.005953,0.005939,17000.0,101.2,100.96,0.1167,True,1.1m
1777107321.8824267,MASKUSDT,SHORT,0.5138,0.514,137.0,70.39,70.42,-0.1119,False,5.1m
1777109871.2499716,APRUSDT,LONG,0.17796,0.17814,3374.75,600.57,601.18,-0.1136,False,1.3m
1777120883.7481675,APRUSDT,LONG,0.17804,0.17824,1696.3,302.01,302.35,-0.0234,False,48.8s
1777122789.384355,APRUSDT,LONG,0.17837,0.17856,842.72,150.32,150.48,-0.0204,False,43.5s
1777126481.6725836,QUSDT,SHORT,0.010112,0.010228,36980.0,373.94,378.23,-4.741,False,1.3m
