2026-04-04 00:53:36 | INFO | ws | 🟢 [ВХОД] PIPPINUSDT_LONG. Статус: Filled, Налито: 1644.0
2026-04-04 00:54:19 | INFO | ws | 🧹 [PIPPINUSDT_LONG] Время 'ВЫХОД' истекло. Сносим остаток #89158d58...
2026-04-04 00:54:31 | INFO | ws | 🧹 [PIPPINUSDT_LONG] Время 'ВЫХОД' истекло. Сносим остаток #0ccdc320...
2026-04-04 00:54:33 | INFO | ws | 🧹 [PIPPINUSDT_LONG] Время 'ВЫХОД' истекло. Сносим остаток #e2754240...
2026-04-04 00:54:38 | INFO | ws | ✅ [PIPPINUSDT_LONG] ЗАКРЫТИЕ ЛОНГА ЗАВЕРШЕНО по 0.03031.
2026-04-04 00:55:00 | INFO | ws | 🟢 [ВХОД] CRCLUSDT_LONG. Статус: Filled, Налито: 0.55
2026-04-04 02:04:09 | INFO | ws | 🟢 [ВХОД] ARKMUSDT_LONG. Статус: Filled, Налито: 522.0
2026-04-04 02:05:11 | INFO | ws | ✅ [ARKMUSDT_LONG] ЗАКРЫТИЕ ЛОНГА ЗАВЕРШЕНО по 0.0957.
2026-04-04 02:05:25 | INFO | ws | 🟢 [ВХОД] SKLUSDT_LONG. Статус: Filled, Налито: 7552.0
2026-04-04 02:09:17 | INFO | ws | ✅ [SKLUSDT_LONG] ЗАКРЫТИЕ ЛОНГА ЗАВЕРШЕНО по 0.00659.
2026-04-04 02:47:01 | INFO | ws | 🟢 [ВХОД] ARPAUSDT_LONG. Статус: Filled, Налито: 5470.0
2026-04-04 02:48:35 | INFO | ws | ✅ [ARPAUSDT_LONG] ЗАКРЫТИЕ ЛОНГА ЗАВЕРШЕНО по 0.0091.
2026-04-04 02:48:35 | INFO | ws | 🟢 [ВХОД] CRCLUSDT_LONG. Статус: Filled, Налито: 0.55
